movie,user,ratings,feedback,rating,review
Avatar,David,4.0,"Great visuals, weak story.",,
Avatar,Riya,5.0,Great vfx and amazing animation,,
tara,Avatar,3.0,nice movie,,
miya,Tangled,4.0,great movie,,
tiya,Frozen,5.0,great animation,,
tina,Avatar,5.0,amazing movie,,
 adwaith,The Dark Knight Rises,4.0,"good
",,
 adwaith,The Dark Knight Rises,4.0,"good
",,
 adwaith,The Dark Knight Rises,2.0,"good film

",,
Avatar,Mitushi,,,3.0,
Avatar,tina,,,5.0,nice
Avatar,arya,,,5.0,great visuals
Avatar,peter,,,5.0,great story
